pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
24401,0.756,0.65,0.7720000000000001,0.668,0.33199999999999996,0.142
24403,0.21600000000000003,0.0,1.002,0.898,0.6,0.282
25005,3.508,5.016,0.0,1.508,0.0,1.508
25012,3.124,0.244,0.996,0.6280000000000001,1.228,0.406
25100,1.3459999999999999,0.21000000000000002,0.56,1.146,0.309,1.3259999999999998
25101,33.49199999999999,15.161999999999999,32.52799999999999,51.05400000000001,41.44799999999999,52.282000000000004
25102,0.001,0.0,0.0,0.0,0.0,0.0
25110,6.0,6.5,0.0,0.0,2.5,2.0
25111,41.0,136.46699999999998,63.134,53.0,62.0,54.0
25112,0.506,0.0,1.248,0.386,1.1560000000000001,0.0
25120,12.302999999999997,51.03100000000002,124.40200000000004,103.19400000000005,135.04699999999994,168.36699999999988
25121,27.461000000000002,22.898000000000003,4.044,15.368,5.5,2.418
25130,2.606,1.4660000000000002,0.0,1.686,0.624,0.8180000000000001
25150,2.092,0.0,0.0,2.092,2.092,0.0
25405,0.0,0.0,0.504,0.0,1.1219999999999999,1.59
27000,1391.03,8261.439,3291.473,6439.985000000001,8517.154,10379.898000000001
27002,18.148,28.029999999999987,528.625,155.40999999999997,177.03400000000002,17.362000000000005
27030,0.74,0.0,0.0,0.308,0.003,0.0
27100,4.7780000000000005,4.176000000000001,5.744,5.646000000000001,5.738000000000001,7.240000000000002
27200,2.935,3.0989999999999993,1.477,215.77700000000016,0.05100000000000002,7.060000000000011
27201,0.0,16.0,0.0,0.0,14.0,0.0
27210,0.0,0.0,0.0,0.0,1.574,2.361
27240,1986.0,1028.0,2042.0,4530.0,530.0,1052.0
27300,48.628000000000014,61.346,53.78199999999999,108.786,93.61400000000003,106.95499999999996
27400,131.15000000000006,1.7280000000000004,2.462,1655.9719999999995,2.7439999999999998,177.00800000000004
27401,11.964,0.6709999999999999,0.008,0.0,1.45,0.888
27410,518.9860000000003,237.69799999999998,189.682,214.55199999999996,126.526,515.144
27421,0.564,0.0,0.0,0.0,0.0,0.0
30000,4.0,13.0,0.0,6.0,2.0,2.0
30001,0.0,12.0,0.0,0.0,2.0,0.0
30005,0.0,0.0,0.0,1.0,0.0,0.0
30006,1.0,0.0,0.0,0.0,0.0,0.0
30010,3.0,8.0,2.0,2.0,0.0,4.0
30011,1.0,2.0,1.0,1.0,4.0,2.0
30012,0.0,1.0,0.0,0.0,1.0,0.0
30014,0.0,0.0,0.0,0.0,0.0,1.0
30020,0.0,1.0,2.0,0.0,0.0,2.0
30030,0.0,0.0,0.0,0.0,1.0,0.0
30040,1.0,0.0,0.0,0.0,0.0,0.0
30042,1.0,0.0,0.0,0.0,0.0,0.0
30050,0.0,0.0,0.0,1.0,0.0,0.0
30052,1.0,0.0,0.0,0.0,0.0,0.0
30102,0.0,0.0,0.0,0.0,1.0,0.0
30103,0.0,1.0,0.0,0.0,1.0,0.0
30120,0.0,4.0,0.0,0.0,0.0,0.0
30121,2.0,0.0,0.0,0.0,0.0,0.0
30124,2.0,0.0,2.0,2.0,0.0,0.0
30125,4.0,0.0,0.0,0.0,0.0,0.0
30126,4.0,0.0,0.0,0.0,0.0,0.0
30133,0.0,2.0,0.0,0.0,0.0,2.0
30141,0.0,0.0,0.0,0.0,1.0,2.0
30151,1.0,0.0,0.0,0.0,0.0,0.0
30161,15.0,0.0,0.0,2.0,1.0,0.0
30162,0.0,0.0,0.0,1.0,0.0,0.0
30164,0.0,0.0,1.0,1.0,0.0,0.0
30165,2.0,1.0,0.0,2.0,5.0,0.0
30166,2.0,1.0,0.0,0.0,3.0,0.0
30167,0.0,1.0,0.0,0.0,2.0,0.0
30168,0.0,0.0,0.0,1.0,1.0,0.0
30169,0.0,1.0,1.0,0.0,0.0,0.0
