pluno,2016-02-01/2016-02-07,2016-02-08/2016-02-14,2016-02-15/2016-02-21,2016-02-22/2016-02-28,2016-02-29/2016-03-06,2016-03-07/2016-03-13,2016-03-14/2016-03-20,2016-03-21/2016-03-27,2016-03-28/2016-04-03,2016-04-04/2016-04-10,2016-04-11/2016-04-17,2016-04-18/2016-04-24,2016-04-25/2016-05-01,2016-05-02/2016-05-08,2016-05-09/2016-05-15,2016-05-16/2016-05-22,2016-05-23/2016-05-29,2016-05-30/2016-06-05,2016-06-06/2016-06-12,2016-06-13/2016-06-19,2016-06-20/2016-06-26,2016-06-27/2016-07-03,2016-07-04/2016-07-10,2016-07-11/2016-07-17,2016-07-18/2016-07-24,2016-07-25/2016-07-31
152,132.0,67.0,69.0,166.0,94.0,116.0,128.0,97.0,97.0,114.0,112.0,81.0,133.0,117.0,93.0,82.0,109.0,127.0,89.0,102.0,105.0,99.0,86.0,110.0,98.0,121.0
153,4.634,1.0,5.0,3.0,2.0,1.0,4.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,6.0,2.0,2.0,0.0,1.0,3.0,4.0,1.0
154,13.0,12.0,27.0,20.0,7.0,2.0,7.0,7.0,7.0,3.0,2.0,5.0,6.0,3.0,12.0,5.0,9.0,9.0,24.0,6.0,8.0,2.0,4.0,2.0,8.0,3.0
155,4.0,0.0,6.0,5.0,3.0,7.0,7.0,4.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,6.0,0.0,2.0,1.0,13.0,5.0,1.0,3.0,6.0,19.0,7.0
156,11.0,2.0,2.0,3.0,1.0,1.0,5.0,0.0,8.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,3.0,1.0,0.0
200,0.0,812.0,0.0,0.0,246.0,538.0,0.0,0.0,0.0,0.0,538.0,380.0,0.0,436.0,0.0,222.0,0.0,0.832,0.42200000000000004,0.22,0.0,0.632,0.21,0.0,0.0,0.0
201,7.438000000000001,0.0,2.52,2.894,4.489999999999999,0.5539999999999999,0.004,2.733,7.507999999999999,1.952,1.157,1.158,1.068,1.439,2.407,0.653,1.328,1.778,0.256,1.3159999999999998,0.948,0.588,0.38799999999999996,3.801,0.0,0.046
202,2.408,0.0,0.0,0.0,0.0,0.0,0.562,0.628,0.5880000000000001,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,4.006,0.51,2.59,0.86,1.912,0.0,0.843,0.332,2.214,1.25,529.0939999999999,4.302,13.272,5.980000000000001,1.722,2.682,3.336,2.765,0.0,4.670000000000001,1.058,7.774000000000001,0.45,3.7380000000000004,1.572,1.694
211,0.0,0.304,0.0,0.0,0.0,0.0,0.45,0.41800000000000004,0.0,0.0,1.11,0.6,0.572,0.462,0.0,0.0,0.0,0.0,0.0,0.10400000000000001,0.0,0.0,0.0,0.138,0.298,0.0
212,0.002,0.0,2.984,6.17,5.0760000000000005,2.6239999999999997,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,2.012,0.0,0.0,0.0,0.0,0.7559999999999999,0.0,0.0,0.0,1.192,0.0,0.0
214,0.0,0.0,1.458,1.014,0.706,1.9300000000000002,0.0,0.512,0.0,0.0,0.0,0.894,0.124,0.0,0.0,0.268,0.0,0.0,0.0,0.292,0.0,0.0,0.0,0.0,0.0,0.27
217,0.426,0.0,0.0,0.0,0.14800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33799999999999997,0.156,0.324,0.0,0.0,0.0,0.0,0.278,0.0,0.0,0.0,0.244,0.0,0.0
218,0.811,1.498,0.41400000000000003,0.8480000000000001,1.8279999999999998,0.126,0.216,0.966,0.7100000000000001,0.6839999999999999,0.098,0.06,0.0,0.208,0.0,0.528,0.524,0.198,0.616,2.266,0.446,1.8410000000000002,0.61,0.0,0.3,0.76
220,89.54400000000005,51.040000000000006,76.98299999999999,55.21299999999999,61.739000000000004,46.864,45.457,57.97599999999998,38.97,52.910000000000004,39.528,53.902,64.48600000000002,79.78499999999998,65.80100000000002,80.177,42.736,52.049,41.714,130.81599999999997,43.184000000000005,54.47099999999999,31.487000000000005,30.354,31.548000000000005,35.914
