pluno,2016-02-01/2016-02-29,2016-03-01/2016-03-31,2016-04-01/2016-04-30,2016-05-01/2016-05-31,2016-06-01/2016-06-30,2016-07-01/2016-07-31
10203001,0.0,0.0,0.0,0.0,0.0,1.0
10300005,0.0,0.0,0.0,0.0,0.0,1.0
10300007,0.0,0.0,0.0,0.0,0.0,2.0
10300011,2.0,0.0,0.0,0.0,0.0,0.0
10300018,0.0,0.0,0.0,4.0,0.0,2.0
10300019,0.0,0.0,9.0,9.0,1.0,0.0
10300021,0.0,0.0,1.0,28.0,0.0,1.0
10300025,0.0,0.0,0.0,2.0,0.0,0.0
10300026,2.0,0.0,0.0,0.0,0.0,0.0
10300030,6.0,0.0,0.0,2.0,0.0,6.0
10300031,0.0,0.0,0.0,1.0,0.0,0.0
10300034,0.0,0.0,0.0,2.0,0.0,2.0
10300035,0.0,0.0,0.0,0.0,12.0,0.0
10300037,0.0,0.0,2.0,0.0,0.0,0.0
10300038,0.0,0.0,0.0,2.0,0.0,0.0
10300039,0.0,0.0,0.0,2.0,0.0,0.0
10300042,24.0,0.0,2.0,24.0,0.0,0.0
10300043,2.0,0.0,0.0,0.0,0.0,0.0
10300044,2.0,0.0,0.0,0.0,0.0,0.0
10300052,0.0,2.0,0.0,0.0,0.0,0.0
10300059,0.0,0.0,0.0,2.0,0.0,0.0
10300062,0.0,0.0,0.0,1.0,0.0,0.0
10300070,1.0,0.0,0.0,0.0,0.0,0.0
10300080,0.0,0.0,0.0,0.0,0.0,1.0
10300081,0.0,0.0,0.0,0.0,0.0,1.0
10300084,0.0,0.0,0.0,0.0,0.0,4.0
10309001,3.0,3.0,0.0,0.0,0.0,0.0
10310001,0.0,1.0,0.0,0.0,0.0,0.0
10310021,0.0,0.0,2.0,0.0,3.0,0.0
10310042,0.0,0.0,0.0,0.0,12.0,12.0
10310043,0.0,0.0,0.0,0.0,1.0,0.0
10310044,0.0,0.0,0.0,0.0,2.0,0.0
10310045,0.0,0.0,0.0,0.0,1.0,0.0
10310046,0.0,0.0,0.0,0.0,2.0,0.0
10310047,0.0,0.0,0.0,0.0,2.0,0.0
10310048,0.0,0.0,0.0,0.0,1.0,1.0
10310050,0.0,0.0,0.0,0.0,1.0,1.0
10310051,0.0,0.0,0.0,0.0,4.0,0.0
10310052,0.0,0.0,0.0,0.0,1.0,1.0
10312012,0.0,0.0,3.0,0.0,0.0,0.0
10312014,0.0,0.0,0.0,0.0,3.0,0.0
10312015,0.0,0.0,0.0,0.0,2.0,0.0
10312016,0.0,0.0,0.0,0.0,1.0,0.0
10319004,0.0,0.0,1.0,0.0,0.0,0.0
10319006,0.0,0.0,0.0,2.0,0.0,0.0
10400067,0.0,0.0,0.0,0.0,1.0,0.0
10400226,4.0,0.0,0.0,0.0,0.0,0.0
10401008,1.0,0.0,0.0,2.0,0.0,0.0
10401015,0.0,0.0,0.0,1.0,0.0,0.0
10401025,2.0,0.0,0.0,0.0,0.0,0.0
10401036,0.0,0.0,1.0,0.0,0.0,0.0
10401038,0.0,0.0,1.0,0.0,0.0,0.0
10401049,0.0,0.0,0.0,0.0,5.0,12.0
10401051,6.0,0.0,0.0,0.0,0.0,0.0
10401054,0.0,0.0,0.0,0.0,0.0,1.0
10401059,0.0,0.0,0.0,0.0,0.0,1.0
10401060,3.0,0.0,0.0,0.0,0.0,0.0
10401072,0.0,0.0,1.0,0.0,0.0,0.0
10401090,0.0,0.0,0.0,0.0,0.0,1.0
10401097,0.0,0.0,0.0,0.0,0.0,7.0
10410004,1.0,0.0,0.0,0.0,0.0,0.0
10410006,0.0,1.0,0.0,0.0,0.0,0.0
10411002,0.0,1.0,0.0,0.0,0.0,0.0
10420014,0.0,0.0,0.0,0.0,0.0,1.0
10420015,2.0,0.0,0.0,0.0,0.0,0.0
10420016,2.0,0.0,1.0,0.0,0.0,0.0
10420017,2.0,0.0,0.0,0.0,0.0,0.0
10421006,0.0,1.0,0.0,0.0,0.0,0.0
10421012,2.0,0.0,0.0,0.0,0.0,0.0
10421016,2.0,0.0,0.0,0.0,0.0,0.0
10421024,1.0,0.0,0.0,0.0,0.0,0.0
10422006,0.0,0.0,0.0,0.0,0.0,1.0
10422008,0.0,1.0,0.0,0.0,0.0,1.0
10422010,1.0,0.0,0.0,0.0,0.0,0.0
10422011,0.0,0.0,1.0,0.0,0.0,0.0
10422012,3.0,0.0,0.0,0.0,0.0,1.0
10435002,1.0,0.0,0.0,0.0,0.0,0.0
10435003,0.0,0.0,0.0,0.0,1.0,0.0
10435004,2.0,0.0,0.0,0.0,0.0,0.0
10435007,1.0,0.0,0.0,0.0,0.0,0.0
10435024,0.0,0.0,1.0,0.0,0.0,0.0
10435025,0.0,0.0,0.0,0.0,0.0,1.0
10435026,0.0,0.0,0.0,0.0,0.0,1.0
10435031,2.0,0.0,1.0,1.0,0.0,0.0
10435033,0.0,0.0,0.0,0.0,1.0,0.0
10435034,0.0,0.0,1.0,0.0,0.0,0.0
10435036,0.0,3.0,0.0,0.0,0.0,1.0
10435037,0.0,0.0,1.0,1.0,0.0,0.0
10435040,4.0,0.0,0.0,0.0,0.0,0.0
10435042,0.0,0.0,0.0,0.0,2.0,1.0
10435043,0.0,0.0,0.0,0.0,1.0,0.0
10439017,0.0,0.0,1.0,0.0,1.0,0.0
10439019,2.0,0.0,0.0,0.0,0.0,0.0
10440002,2.0,0.0,0.0,0.0,0.0,0.0
10440005,1.0,0.0,0.0,0.0,0.0,0.0
10440006,0.0,1.0,0.0,0.0,0.0,0.0
10440036,1.0,0.0,0.0,0.0,0.0,0.0
10440048,0.0,1.0,0.0,0.0,0.0,0.0
10441007,0.0,0.0,0.0,1.0,0.0,0.0
10441009,1.0,0.0,0.0,0.0,0.0,0.0
10441013,1.0,0.0,0.0,0.0,0.0,0.0
10441014,1.0,0.0,0.0,3.0,0.0,1.0
10441016,0.0,0.0,1.0,2.0,0.0,0.0
10443004,1.0,0.0,0.0,0.0,0.0,0.0
10450004,1.0,0.0,0.0,0.0,0.0,0.0
10450020,0.0,0.0,0.0,1.0,0.0,0.0
10450048,0.0,0.0,0.0,0.0,0.0,6.0
10454002,1.0,0.0,0.0,0.0,0.0,0.0
10454005,0.0,0.0,1.0,0.0,0.0,0.0
10454006,1.0,0.0,0.0,0.0,0.0,0.0
10501053,0.0,1.0,0.0,0.0,0.0,0.0
10501054,0.0,0.0,14.0,0.0,0.0,0.0
10501076,10.0,0.0,0.0,0.0,0.0,0.0
10501079,10.0,0.0,20.0,0.0,0.0,0.0
10501084,0.0,0.0,0.0,10.0,0.0,0.0
