pluno,4avg2,4max2,4min2,4avg3,4max3,4min3,4avg4,4max4,4min4,3avg2,3max2,3min2,3avg3,3max3,3min3,3avg4,3max4,3min4,2avg2,2max2,2min2,2avg3,2max3,2min3,2avg4,2max4,2min4,1avg2,1max2,1min2,1avg3,1max3,1min3,1avg4,1max4,1min4
22000049,493.42857142857144,2406.0,0.0,200.42857142857142,1022.0,0.0,551.4285714285714,3164.0,0.0,3127.5714285714284,7600.0,0.0,2714.4285714285716,6002.0,0.0,2665.4285714285716,6320.0,0.0,6756.0,12534.0,1462.0,7065.285714285715,10950.0,970.0,6422.285714285715,11175.0,2447.0,12787.857142857143,23944.0,2784.0,14246.857142857143,27913.0,4395.0,16922.85714285714,31066.0,9616.0
22000049,72.85714285714286,510.0,0.0,639.5714285714286,2406.0,0.0,54.285714285714285,380.0,0.0,2364.285714285714,3530.0,0.0,3816.714285714286,7600.0,1081.0,1589.857142857143,5048.0,0.0,5986.428571428572,7742.0,3839.0,7628.857142857143,12534.0,1462.0,4786.857142857143,10464.0,970.0,15775.57142857143,30928.0,7961.0,13269.857142857143,23944.0,2784.0,17464.0,31066.0,4395.0
22000049,1089.4285714285713,2264.0,0.0,72.85714285714286,510.0,0.0,493.57142857142856,2406.0,0.0,5498.0,9710.0,1518.0,2364.285714285714,3530.0,0.0,3230.1428571428573,7600.0,0.0,7630.571428571428,15861.0,2130.0,5351.0,7742.0,2944.0,7120.571428571428,12534.0,1462.0,16002.142857142857,26899.0,7302.0,15597.0,30928.0,7961.0,12706.714285714286,23944.0,2784.0
22000049,232.28571428571428,1626.0,0.0,930.0,2264.0,0.0,343.7142857142857,2406.0,0.0,4006.714285714286,9280.0,1104.0,4042.5714285714284,9710.0,0.0,2976.8571428571427,7600.0,0.0,9590.57142857143,16623.0,2130.0,6480.571428571428,10540.0,2944.0,6391.285714285715,12534.0,1462.0,22705.428571428572,35814.0,7302.0,15421.857142857143,30928.0,7961.0,14038.285714285714,23944.0,2784.0
22000049,232.28571428571428,1626.0,0.0,857.1428571428571,2264.0,0.0,72.85714285714286,510.0,0.0,4069.4285714285716,9196.0,1104.0,4903.142857142857,9710.0,0.0,2364.285714285714,3530.0,0.0,10796.0,16623.0,4165.0,7456.142857142857,15861.0,2130.0,5986.428571428572,7742.0,3839.0,23778.571428571428,35814.0,16502.0,14752.142857142857,26899.0,7302.0,15775.57142857143,30928.0,7961.0
22000049,236.57142857142858,1656.0,0.0,671.4285714285714,1996.0,0.0,490.85714285714283,2264.0,0.0,3874.285714285714,9196.0,1656.0,4703.428571428572,9710.0,1104.0,3071.285714285714,7336.0,0.0,10627.285714285714,16623.0,4202.0,8295.857142857143,15861.0,2130.0,5699.857142857143,10272.0,2944.0,19089.14285714286,35814.0,7772.0,18270.571428571428,30033.0,7302.0,16013.0,30928.0,7961.0
22000049,377.14285714285717,1656.0,0.0,232.28571428571428,1626.0,0.0,857.1428571428571,2264.0,0.0,5363.428571428572,9404.0,1656.0,2972.5714285714284,6304.0,1104.0,5023.571428571428,9710.0,0.0,11397.857142857143,22080.0,4202.0,9212.285714285714,16623.0,2130.0,7700.285714285715,15861.0,2944.0,17588.0,31310.0,7772.0,21779.714285714286,35814.0,7302.0,14846.285714285714,26899.0,7961.0
22000049,423.2857142857143,1448.0,0.0,236.57142857142858,1656.0,0.0,386.2857142857143,1626.0,0.0,3841.0,9404.0,850.0,4188.285714285715,9196.0,1656.0,4216.857142857143,9280.0,1104.0,9013.714285714286,15553.0,2188.0,12388.42857142857,22080.0,4202.0,8183.285714285715,15861.0,2130.0,15286.42857142857,31310.0,2188.0,19917.0,35814.0,7772.0,19380.285714285714,30033.0,7302.0
22000049,168.0,1176.0,0.0,318.57142857142856,1702.0,0.0,347.85714285714283,1448.0,0.0,2729.1428571428573,5572.0,822.0,2380.285714285714,3968.0,0.0,4873.571428571428,9404.0,2188.0,8378.57142857143,20191.0,2078.0,11215.285714285714,15605.0,6962.0,10975.285714285714,22080.0,2188.0,76340.71428571429,422904.0,5662.0,23195.428571428572,37252.0,11461.0,17693.571428571428,31310.0,2188.0
22000049,0.0,0.0,0.0,411.14285714285717,1702.0,0.0,423.2857142857143,1448.0,0.0,2628.1428571428573,6762.0,1.0,2438.0,3968.0,0.0,2984.1428571428573,4097.0,850.0,5137.714285714285,9817.0,1712.0,12699.0,20191.0,4752.0,8960.0,15553.0,2188.0,73492.71428571429,422904.0,5668.0,24225.14285714286,35595.0,5662.0,16135.285714285714,37252.0,2188.0
22000049,98.57142857142857,690.0,0.0,168.0,1176.0,0.0,243.14285714285714,1702.0,0.0,3530.8571428571427,6762.0,0.0,2152.1428571428573,5572.0,1.0,2434.5714285714284,3968.0,0.0,6431.571428571428,13652.0,0.0,6619.714285714285,20191.0,1712.0,11930.57142857143,15605.0,4752.0,18156.85714285714,27947.0,3552.0,74585.28571428571,422904.0,5668.0,24461.85714285714,37252.0,5662.0
22000049,285.42857142857144,1308.0,0.0,0.0,0.0,0.0,168.0,1176.0,0.0,2366.285714285714,4994.0,0.0,3731.8571428571427,6762.0,1.0,1660.2857142857142,3430.0,0.0,6136.142857142857,20700.0,0.0,7280.0,13652.0,1712.0,10348.714285714286,20191.0,2078.0,14714.857142857143,30069.0,3552.0,17008.428571428572,27947.0,5668.0,80703.14285714286,422904.0,5662.0
22000049,338.2857142857143,2368.0,0.0,285.42857142857144,1308.0,0.0,0.0,0.0,0.0,2140.714285714286,5274.0,0.0,2864.285714285714,4994.0,0.0,3351.285714285714,6762.0,1.0,5959.142857142857,11891.0,1748.0,7435.571428571428,20700.0,0.0,6105.142857142857,9817.0,1712.0,16572.85714285714,30290.0,4954.0,16665.285714285714,30069.0,3552.0,16562.714285714286,27947.0,5668.0
22000049,298.85714285714283,1136.0,0.0,338.2857142857143,2368.0,0.0,285.42857142857144,1308.0,0.0,1610.142857142857,3806.0,397.0,2140.714285714286,5274.0,0.0,2366.285714285714,4994.0,0.0,19477.85714285714,49054.0,1716.0,5400.0,11891.0,642.0,6136.142857142857,20700.0,0.0,30311.285714285714,62310.0,6014.0,16185.142857142857,30290.0,4954.0,14714.857142857143,30069.0,3552.0
22000049,191.14285714285714,1338,0.0,261.42857142857144,1212.0,0.0,220.28571428571428,956.0,0.0,2045.2857142857142,4173.0,0.0,3492.285714285714,7318.0,192.0,2748.8571428571427,5777.0,0.0,4391.714285714285,9243.0,7.0,6856.428571428572,17278.0,746.0,13733.285714285714,49054.0,3130.0,10785.285714285714,22995.0,3887.0,16016.857142857143,32156.0,4344.0,24442.571428571428,62310.0,9795.0
22000049,189.71428571428572,728.0,0.0,191.14285714285714,1338,0.0,261.42857142857144,1212.0,0.0,1680.2857142857142,5416.0,0.0,2351.285714285714,4173.0,0.0,3609.4285714285716,7318.0,1012.0,5204.0,10062.0,1602.0,4516.428571428572,10116.0,7.0,8070.285714285715,17278.0,1212.0,12090.285714285714,19588.0,5112.0,11026.857142857143,22995.0,3887.0,17955.0,32156.0,6340.0
22001000,863.7142857142857,2370.0,0.0,253.71428571428572,1776.0,0.0,712.2857142857143,3018.0,0.0,2665.4285714285716,4234.0,834.0,2288.714285714286,6406.0,0.0,2068.5714285714284,4800.0,378.0,8963.57142857143,15165.0,4515.0,9466.42857142857,20858.0,4744.0,9506.714285714286,12438.0,4220.0,16742.285714285714,29563.0,8733.0,19506.285714285714,30752.0,9216.0,24435.14285714286,39188.0,16735.0
22001000,581.1428571428571,2202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2806.714285714286,7318.0,0.0,3540.1428571428573,5777.0,192.0,1925.0,4564.0,0.0,6448.571428571428,17278.0,7.0,6565.142857142857,10566.0,746.0,19895.0,49054.0,3130.0,16447.0,32156.0,3887.0,15459.142857142857,26044.0,4344.0,30279.0,62310.0,9795.0
22001000,53.714285714285715,376.0,0.0,442.2857142857143,1230.0,0.0,314.57142857142856,2202,0.0,1680.2857142857142,5416.0,0.0,2351.285714285714,4173.0,0.0,3609.4285714285716,7318.0,1012.0,5204.0,10062.0,1602.0,4516.428571428572,10116.0,7.0,8070.285714285715,17278.0,1212.0,12090.285714285714,19588.0,5112.0,11026.857142857143,22995.0,3887.0,17955.0,32156.0,6340.0
22001001,630.2857142857143,2370.0,0.0,253.71428571428572,1776.0,0.0,712.2857142857143,3018.0,0.0,2605.1428571428573,4234.0,834.0,2009.857142857143,6406.0,0.0,2079.4285714285716,4800.0,378.0,7632.0,9806.0,4515.0,9234.42857142857,20858.0,4220.0,9837.0,12438.0,6366.0,14327.857142857143,21698.0,8733.0,21487.0,30752.0,9216.0,23245.285714285714,39188.0,16735.0
22001001,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0,684.8571428571429,3018.0,0.0,3332.5714285714284,4685.0,2754.0,2828.1428571428573,6406.0,834.0,1728.5714285714287,4800.0,0.0,8392.714285714286,15165.0,4515.0,8696.285714285714,13748.0,5844.0,10347.42857142857,20858.0,4220.0,14810.857142857143,29563.0,8733.0,17098.285714285714,23081.0,12662.0,23313.571428571428,30752.0,9216.0
22001001,866.5714285714286,5084.0,0.0,525.1428571428571,1634.0,0.0,338.57142857142856,2370.0,0.0,2359.5714285714284,7366.0,0.0,2783.285714285714,4685.0,834.0,2586.4285714285716,6406.0,0.0,6694.857142857143,13417.0,1879.0,8819.714285714286,15165.0,4515.0,7887.571428571428,13748.0,4744.0,13043.0,23959.0,4611.0,15575.714285714286,29563.0,8733.0,18379.285714285714,30752.0,9216.0
22001001,1046.0,5084.0,0.0,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0,2234.1428571428573,7366.0,0.0,3057.8571428571427,4685.0,858.0,2705.5714285714284,6406.0,0.0,6292.571428571428,13417.0,1879.0,8360.0,15165.0,4515.0,8045.571428571428,13748.0,4744.0,12840.0,23959.0,4611.0,14863.57142857143,29563.0,8733.0,15975.57142857143,23081.0,9216.0
22001001,1235.142857142857,5084.0,0.0,406.0,1634.0,0.0,457.7142857142857,2370.0,0.0,2270.8571428571427,7366.0,0.0,3332.5714285714284,4685.0,2754.0,2828.1428571428573,6406.0,834.0,5746.857142857143,13417.0,1879.0,8392.714285714286,15165.0,4515.0,8696.285714285714,13748.0,5844.0,13098.857142857143,23959.0,4611.0,14810.857142857143,29563.0,8733.0,17098.285714285714,23081.0,12662.0
22001001,2051.4285714285716,5714.0,0.0,233.42857142857142,1634.0,0.0,630.2857142857143,2370.0,0.0,3782.4285714285716,11278.0,5.0,2434.5714285714284,4685.0,0.0,2685.5714285714284,4234.0,834.0,7347.0,13417.0,3478.0,7112.285714285715,15165.0,1879.0,7770.428571428572,9806.0,4515.0,14896.857142857143,23959.0,6451.0,13317.714285714286,29563.0,4611.0,14510.57142857143,21698.0,8733.0
22001001,1370.2857142857142,5714.0,0.0,866.5714285714286,5084.0,0.0,525.1428571428571,1634.0,0.0,3346.4285714285716,11278.0,5.0,2359.5714285714284,7366.0,0.0,2783.285714285714,4685.0,834.0,6493.857142857143,12366.0,2544.0,6694.857142857143,13417.0,1879.0,8819.714285714286,15165.0,4515.0,13972.857142857143,23650.0,5854.0,13043.0,23959.0,4611.0,15575.714285714286,29563.0,8733.0
22001001,1772.2857142857142,5714.0,0.0,1046.0,5084.0,0.0,406.0,1634.0,0.0,3660.714285714286,11278.0,5.0,2234.1428571428573,7366.0,0.0,3057.8571428571427,4685.0,858.0,6579.571428571428,12366.0,2544.0,6292.571428571428,13417.0,1879.0,8360.0,15165.0,4515.0,53350.0,283160.0,5854.0,12840.0,23959.0,4611.0,14863.57142857143,29563.0,8733.0
22001001,1018.0,5218.0,0.0,1055.142857142857,4070.0,0.0,2051.4285714285716,5714.0,0.0,3524.1428571428573,8026.0,865.0,2836.1428571428573,6394.0,5.0,3781.714285714286,11278.0,0.0,6992.0,11331.0,2068.0,6679.571428571428,13800.0,2544.0,7081.571428571428,13417.0,1879.0,15704.285714285714,31066.0,7248.0,54910.71428571428,283160.0,5854.0,14634.0,23959.0,4611.0
22001001,314.57142857142856,2202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3492.285714285714,7318.0,192.0,2748.8571428571427,5777.0,0.0,1913.142857142857,5274.0,0.0,6856.428571428572,17278.0,746.0,13733.285714285714,49054.0,3130.0,11614.142857142857,43749.0,642.0,16016.857142857143,32156.0,4344.0,24442.571428571428,62310.0,9795.0,20764.14285714286,55263.0,4954.0
22001001,53.714285714285715,376.0,0.0,329.7142857142857,1230.0,0.0,427.14285714285717,2202,0.0,906.5714285714286,3066.0,0.0,2528.8571428571427,5416.0,0.0,3679.5714285714284,7318.0,1012.0,4336.285714285715,10062.0,1236.0,4498.142857142857,10116.0,7.0,7781.428571428572,17278.0,1212.0,11338.0,19588.0,4496.0,9136.42857142857,19602.0,3887.0,19277.428571428572,32156.0,6340.0
22001003,712.2857142857143,3018.0,0.0,120.0,840.0,0.0,666.8571428571429,3488.0,0.0,2068.5714285714284,4800.0,378.0,1331.142857142857,3976.0,0.0,3935.0,13167.0,0.0,9506.714285714286,12438.0,4220.0,7239.571428571428,12408.0,0.0,11047.0,30437.0,0.0,24435.14285714286,39188.0,16735.0,32542.14285714286,129742.0,10164.0,57887.142857142855,156919.0,0.0
22001006,1018.0,5218.0,0.0,1055.142857142857,4070.0,0.0,2051.4285714285716,5714.0,0.0,3381.0,8026.0,0.0,2978.5714285714284,6394.0,398.0,3782.4285714285716,11278.0,5.0,7102.285714285715,11331.0,2447.0,6441.142857142857,13800.0,2068.0,7347.0,13417.0,3478.0,17206.285714285714,31066.0,9616.0,55024.57142857143,283160.0,5854.0,14896.857142857143,23959.0,6451.0
