pluno, d-1,d-2,d-3,d-4,d-5,d-6,d-7
22008019,924.0,7542.0,3176.0,1110.0,0.0,2694.0,5742.0
22008019,0.0,4094.0,924.0,7542.0,3176.0,1110.0,0.0
22008019,1762.0,0.0,4094.0,924.0,7542.0,3176.0,1110.0
22008019,849.0,1762.0,0.0,4094.0,924.0,7542.0,3176.0
22008019,0.0,0.0,1146.0,2462.0,3406.0,2654.0,849.0
22008019,0.0,1712.0,0.0,602.0,0.0,1160.0,1986
22008019,6080.0,4930.0,920.0,1.0,0.0,1712.0,0.0
22008019,1210.0,1948.0,0.0,2634.0,6080.0,4930.0,920.0
22008019,1782.0,0.0,1.0,1726.0,0.0,1874.0,3492.0
22008019,0.0,0.0,0.0,0.0,456.0,0.0,432.0
22008019,0.0,484.0,0.0,1136.0,0.0,0.0,0.0
22008019,1012.0,1330.0,0.0,484.0,0.0,1136.0,0.0
22008019,0.0,0.0,0.0,0.0,390.0,0.0,0.0
22008020,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22008020,248.0,662.0,8686.0,1010.0,1.0,0.0,0.0
22008020,6215.0,248.0,662.0,8686.0,1010.0,1.0,0.0
22008020,0.0,0.0,0.0,2760.0,6215.0,248.0,662.0
22008020,0.0,0.0,0.0,592.0,3022.0,1078.0,1410.0
22008020,2697.0,1258.0,5886.0,0.0,0.0,0.0,592.0
22008020,858.0,0.0,854.0,2544.0,2697.0,1258.0,5886.0
22008020,2342.0,858.0,0.0,854.0,2544.0,2697.0,1258.0
22008020,2754.0,2342.0,858.0,0.0,854.0,2544.0,2697.0
22008020,976.0,3152.0,2754.0,2342.0,858.0,0.0,854.0
22008020,1260.0,976.0,3152.0,2754.0,2342.0,858.0,0.0
22008020,2120.0,1260.0,976.0,3152.0,2754.0,2342.0,858.0
22008020,0.0,1572.0,2282.0,0.0,0.0,702.0,2781.0
22008020,0.0,8.0,982.0,920.0,0.0,0.0,3650.0
22008020,1856.0,1002.0,2340.0,0.0,8.0,982.0,920.0
22008020,2430.0,1856.0,1002.0,2340.0,0.0,8.0,982.0
22008020,1474.0,3297.0,2430.0,1856.0,1002.0,2340.0,0.0
22008020,408.0,0.0,1346.0,2170.0,0.0,865.0,609.0
22008020,1080.0,2422.0,408.0,0.0,1346.0,2170.0,0.0
